date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:15:45	15129/15129	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2024%20Dec%202018%2014:30:13%20GMT	https://www.dentway.com.tr/wp-content/themes/dentway/js/twentytwenty/jquery.event.move.js?ver=5.2.5	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/wp-content/themes/dentway/js/twentytwenty/jquery.event.move6619.js	(from https://www.dentway.com.tr/)
12:15:45	5565/5565	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2024%20Dec%202018%2014:30:13%20GMT	https://www.dentway.com.tr/wp-content/themes/dentway/js/twentytwenty/jquery.twentytwenty.js?ver=5.2.5	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/wp-content/themes/dentway/js/twentytwenty/jquery.twentytwenty6619.js	(from https://www.dentway.com.tr/)
12:15:45	7077/7077	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2024%20Dec%202018%2014:30:13%20GMT	https://www.dentway.com.tr/wp-content/themes/dentway/js/hoverIntent/jquery.hoverIntent.js?ver=5.2.5	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/wp-content/themes/dentway/js/hoverIntent/jquery.hoverIntent6619.js	(from https://www.dentway.com.tr/)
12:15:45	23126/23126	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2024%20Dec%202018%2014:30:13%20GMT	https://www.dentway.com.tr/wp-content/themes/dentway/js/selectbox/jquery.selectbox.js?ver=5.2.5	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/wp-content/themes/dentway/js/selectbox/jquery.selectbox6619.js	(from https://www.dentway.com.tr/)
12:15:46	18474/18474	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2011%20Jul%202019%2015:01:43%20GMT	https://www.dentway.com.tr/wp-content/themes/dentway/js/custom.js?ver=5.2.5	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/wp-content/themes/dentway/js/custom6619.js	(from https://www.dentway.com.tr/)
12:15:47	822/822	---M--	200	added ('OK')	text/xml	date:Thu,%2006%20Feb%202020%2008:14:59%20GMT	https://www.dentway.com.tr/xmlrpc.php?rsd	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/xmlrpc0db0.php	(from https://www.dentway.com.tr/)
12:15:47	93627/93627	---MCZ	200	added ('OK')	application/json	date:Thu,%2006%20Feb%202020%2008:14:59%20GMT	https://www.dentway.com.tr/wp-json/	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/wp-json/index.html	(from https://www.dentway.com.tr/)
12:15:47	1045/1045	---MCZ	200	added ('OK')	application/xml	date:Wed,%2011%20Dec%202013%2019:49:11%20GMT	https://www.dentway.com.tr/wp-includes/wlwmanifest.xml	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/wp-includes/wlwmanifest.xml	(from https://www.dentway.com.tr/)
12:15:47	3513/3513	---MCZ	200	added ('OK')	image/png	date:Tue,%2016%20Jul%202019%2009:27:39%20GMT	https://www.dentway.com.tr/wp-content/uploads/2019/07/favicon.png	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/wp-content/uploads/2019/07/favicon.png	(from https://www.dentway.com.tr/)
12:15:47	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2006%20Feb%202020%2008:14:59%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.googletagmanager.com/gtm.185445.delayed	(from https://www.dentway.com.tr/)
12:15:48	22900/22900	---MCZ	200	added ('OK')	image/png	date:Mon,%2023%20Sep%202019%2012:06:16%20GMT	https://www.dentway.com.tr/wp-content/themes/dentway/images/dentway-logo-son.png	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/wp-content/themes/dentway/images/dentway-logo-son.png	(from https://www.dentway.com.tr/)
12:15:48	705/705	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2006%20Feb%202020%2008:15:00%20GMT	https://www.dentway.com.tr/eng3	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/eng3	(from https://www.dentway.com.tr/)
12:15:48	3001/3001	---MCZ	200	added ('OK')	image/png	date:Wed,%2020%20Nov%202019%2013:18:57%20GMT	https://www.dentway.com.tr/wp/wp-content/uploads/2019/10/en.png	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/wp/wp-content/uploads/2019/10/en.png	(from https://www.dentway.com.tr/)
12:15:48	705/705	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2006%20Feb%202020%2008:15:00%20GMT	https://www.dentway.com.tr/bg	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/bg	(from https://www.dentway.com.tr/)
12:15:49	3136/3136	---MCZ	200	added ('OK')	image/png	date:Wed,%2020%20Nov%202019%2013:18:56%20GMT	https://www.dentway.com.tr/wp/wp-content/uploads/2019/10/bg.png	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/wp/wp-content/uploads/2019/10/bg.png	(from https://www.dentway.com.tr/)
12:15:49	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2006%20Feb%202020%2008:15:01%20GMT	https://www.dentway.com.tr/randevu	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/randevu	(from https://www.dentway.com.tr/)
12:15:53	43245/43245	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2008:15:02%20GMT	https://www.dentway.com.tr/tedaviler/estetik-dis/estetik-gulus-tasarimi/	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/tedaviler/estetik-dis/estetik-gulus-tasarimi/index.html	(from https://www.dentway.com.tr/)
